crop,season,year_range,production,start_date,end_date
Groundnut,Rabi,2016-2017,14.14,01-01-2016,31-12-2016
Groundnut,Rabi,2017-2018,16.57,01-01-2017,31-12-2017
Groundnut,Rabi,2018-2019,13.4,01-01-2018,31-12-2018
Groundnut,Rabi,2019-2020,15.63,01-01-2019,31-12-2019
Groundnut,Rabi,2020-2021,17.16,01-01-2020,31-12-2020
Groundnut,Rabi,2021-2022,17.01,01-01-2021,31-12-2021
Groundnut,Rabi,2022-2023,11.03,01-01-2022,31-12-2022
Groundnut,Rabi,2023-2024,7.55,01-01-2023,31-12-2023
Groundnut,Summer,2013-2014,0,01-01-2013,31-12-2013
Groundnut,Summer,2014-2015,0,01-01-2014,31-12-2014
Groundnut,Summer,2015-2016,0,01-01-2015,31-12-2015
Groundnut,Summer,2016-2017,0,01-01-2016,31-12-2016
Groundnut,Summer,2017-2018,0,01-01-2017,31-12-2017
Groundnut,Summer,2018-2019,0,01-01-2018,31-12-2018
Groundnut,Summer,2019-2020,0,01-01-2019,31-12-2019
Groundnut,Summer,2020-2021,0,01-01-2020,31-12-2020
Groundnut,Summer,2021-2022,0,01-01-2021,31-12-2021
Groundnut,Summer,2022-2023,6.32,01-01-2022,31-12-2022
Groundnut,Summer,2023-2024,7.65,01-01-2023,31-12-2023
Castorseed,Kharif,2013-2014,17.27,01-01-2013,31-12-2013
Castorseed,Kharif,2014-2015,18.7,01-01-2014,31-12-2014
Castorseed,Kharif,2015-2016,17.52,01-01-2015,31-12-2015
Castorseed,Kharif,2016-2017,13.76,01-01-2016,31-12-2016
Castorseed,Kharif,2017-2018,15.68,01-01-2017,31-12-2017
Castorseed,Kharif,2018-2019,11.97,01-01-2018,31-12-2018
Castorseed,Kharif,2019-2020,18.42,01-01-2019,31-12-2019
Castorseed,Kharif,2020-2021,16.47,01-01-2020,31-12-2020
Castorseed,Kharif,2021-2022,16.19,01-01-2021,31-12-2021
Castorseed,Kharif,2022-2023,19.8,01-01-2022,31-12-2022
Castorseed,Kharif,2023-2024,19.59,01-01-2023,31-12-2023
Sesamum,Kharif,2013-2014,7.15,01-01-2013,31-12-2013
Sesamum,Kharif,2014-2015,8.28,01-01-2014,31-12-2014
